chapter,keyword,score,freq
全书,朋友,31.399562325099023,186
全书,研究,27.284742741716094,77
全书,思考,26.677931121086324,80
全书,影响,26.578630501963175,64
全书,学习,26.15384843342854,155
全书,选择,25.966093050560314,99
全书,老师,25.767809414095016,63
全书,计算机,25.654629750055943,46
全书,教育,25.643028799675786,54
全书,改变,25.323260856624707,67
全书,投资,24.709231652877502,60
全书,新东方,24.635181728249457,57
全书,生活,24.17494179090004,137
全书,理财,23.836966555783967,89
全书,知识,23.785945835692253,107
全书,孩子,23.767278994800325,79
全书,操作系统,22.730690520981746,103
全书,赚钱,22.689690821748716,62
全书,进步,22.407169768874784,79
全书,运气,22.35697745066392,67
全书,创造,21.71022720919309,58
全书,阅读,21.29871494269854,57
全书,聪明,20.842552899476964,62
全书,方法论,20.610362895230775,96
全书,概念,20.59412932082434,172
全书,风险,20.49884599373127,63
全书,成功,20.399016090524754,60
全书,决定,20.26562168929522,62
全书,讨论,20.189428817939245,41
全书,感觉,19.928391221532348,43
