chapter,keyword,score,freq
A01.md,复利,10.645553376827515,19
A01.md,利息,10.171918074391192,16
A01.md,笨蛋,8.686578116694893,12
A01.md,朋友,6.445545324353063,8
A01.md,知识,6.263643136159826,7
A01.md,曲线,5.395208533762693,7
A02.md,春节,6.092000083350472,9
A02.md,生活,5.592835308245461,6
A02.md,大多数人,4.324077125263813,4
A03.md,赚钱,13.697561547815456,26
A03.md,速度,12.566456711454657,31
A03.md,商业计划,6.309468130393848,8
A03.md,新东方,5.997847310077608,8
A03.md,投资,4.835405069277506,7
A03.md,觉得自己,3.6208468824377453,3
A04.md,互联网,6.21248481546624,7
A04.md,新东方,5.577886756449903,5
A05.md,老师,11.06613231184023,15
A05.md,新东方,9.998257427571032,12
A05.md,大学,9.652395586786692,13
A05.md,北京,6.802388540141129,7
A05.md,经历,6.532358669303349,10
A05.md,计算机,6.459022643457043,8
A05.md,竞赛,5.854193057123713,9
A05.md,广州,5.167218114765634,8
A06.md,英语,8.092812800644039,8
A06.md,创造,5.853776779230061,11
A06.md,销售,5.611862121998719,9
A06.md,主动选择,5.020098080804913,5
A07.md,蠢事,10.569966306200431,16
A07.md,成功,8.966386307049756,13
A07.md,记录,5.767451239476865,6
A07.md,感觉,4.764866625354122,6
A07.md,行动,4.452355019905411,6
A07.md,钥匙,4.288118906928485,5
A08.md,计算机,13.488192033688996,16
A08.md,升级,12.248765834462047,22
A08.md,操作系统,10.406123772726163,14
A08.md,极少数,3.60339760438651,4
A09.md,破冰,5.184601429407286,7
A09.md,新事物,4.920254558729656,7
A09.md,辅助,4.452355019905411,6
A09.md,学生,4.288118906928485,5
A10.md,概念,14.184642269742085,65
A10.md,操作系统,10.982096752748475,15
A10.md,压力,10.05548980555395,19
A10.md,学习,9.972566085709268,11
A10.md,方法论,9.74664549089724,17
A10.md,脑子里,9.653517625720152,10
A10.md,研究,7.809182961469895,10
A10.md,处理,6.693464107739885,8
A11.md,争论,15.27341025287105,36
A11.md,讨论,10.96937015890792,15
A11.md,概念,8.851333755001509,14
A11.md,双方,8.050147636623704,10
A11.md,影响,5.184601429407286,7
A11.md,放弃,4.773888820007257,6
A11.md,时间精力,4.324077125263813,4
A11.md,争论双方,3.6208468824377453,3
A12.md,沟通,12.977973103629957,18
A12.md,操作系统,10.21794794732918,19
A12.md,协议,9.960115547184861,21
A12.md,计算机,8.977670804296027,10
A12.md,升级,8.686578116694893,12
A12.md,方法论,5.3445020059904,7
A12.md,传输,4.773888820007257,6
A12.md,确认,3.843624111345611,4
A13.md,规定,9.526776369170555,28
A13.md,预约,8.686578116694893,12
A13.md,质量问题,7.588944836601782,10
A13.md,解决,6.433647782117784,12
A13.md,店员,5.765436167018416,8
A13.md,道理,4.967812097348041,6
A13.md,商品,4.773888820007257,6
A13.md,经理,4.288118906928485,5
A14-1.md,战友,9.120574124247327,21
A14-1.md,朋友,7.3348966710671855,14
A14.md,朋友,17.286385136294445,47
A14.md,花时间,8.573078172125605,9
A14.md,主动,7.809182961469895,10
A14.md,认识,6.566076673388027,9
A14.md,老朋友,5.131949653318435,7
A14.md,大多数人,5.020098080804913,5
A14.md,互联网,4.804530139182014,4
A14.md,愿意,4.452355019905411,6
A15.md,客户,15.175431871598366,22
A15.md,电脑,11.530872334036832,16
A15.md,销售,11.21683223181129,16
A15.md,朋友,8.966386307049756,13
A15.md,鼠标垫,7.668337395887448,8
A15.md,利润,7.216649424003002,11
A15.md,投诉,5.174803027086102,7
A15.md,时间精力,5.09348553884475,5
A16.md,分享,6.092000083350472,9
A17.md,解决,13.930029949024686,37
A17.md,细节,9.116486214275044,12
A17.md,公司,7.411735490540431,10
A17.md,承担,5.592835308245461,6
A17.md,学习,4.967812097348041,6
A17.md,发展,4.764866625354122,6
A17.md,社会责任,4.5690000625128535,4
A17.md,时间精力,4.324077125263813,4
A18.md,操作系统,8.600823076671794,12
A18.md,随机,8.132426013136993,11
A18.md,创造,6.688749402362364,13
A18.md,概念,5.459897963300399,9
A18.md,注定,3.843624111345611,4
A18.md,什么时候,3.6208468824377453,3
A19.md,榜样,13.400874015375933,27
A19.md,进步,9.904166434785935,17
